order_id,order_date,sku_id,category,channel,city,units_ordered,units_fulfilled,units_returned,selling_price_inr,gross_revenue_inr,commission_pct,commission_inr,net_revenue_inr,fulfillment_rate,fulfillment_status
ORD001422,2023-01-11,SKU016,Personal Care,Own Website,Bhopal,25,24,1,630.07,15121.68,0.02,302.43,14819.25,0.9801,Partial
ORD000505,2023-01-12,SKU045,Household,Flipkart,Pune,43,42,2,172.4,7240.8,0.15,1086.12,6154.68,0.9838,Partial
ORD000160,2023-01-12,SKU021,Snacks,Flipkart,Bengaluru,19,17,0,205.54,3494.18,0.15,524.13,2970.05,0.903,Partial
ORD001865,2023-01-12,SKU017,Personal Care,Own Website,Mumbai,12,11,0,617.3,6790.3,0.02,135.81,6654.49,0.9575,Partial
ORD000820,2023-01-12,SKU046,Household,Modern Trade,Bhopal,395,366,18,290.1,106176.6,0.1,10617.66,95558.94,0.9279,Partial
ORD000234,2023-01-12,SKU021,Snacks,Amazon,Mumbai,73,67,2,205.54,13771.18,0.18,2478.81,11292.37,0.9223,Partial
ORD001361,2023-01-13,SKU050,Household,Amazon,Mumbai,27,25,1,217.14,5428.5,0.18,977.13,4451.37,0.9534,Partial
ORD001758,2023-01-13,SKU047,Household,Modern Trade,Kolkata,601,517,25,151.23,78185.91,0.1,7818.59,70367.32,0.8605,Partial
ORD001669,2023-01-13,SKU002,Staples,Own Website,Mumbai,8,7,0,164.7,1152.9,0.02,23.06,1129.84,0.9644,Partial
ORD002215,2023-01-14,SKU014,Personal Care,Flipkart,Jaipur,37,36,2,476.88,17167.68,0.15,2575.15,14592.53,0.979,Partial
ORD002426,2023-01-14,SKU050,Household,Flipkart,Mumbai,60,57,2,217.14,12376.98,0.15,1856.55,10520.43,0.9615,Partial
ORD000107,2023-01-14,SKU010,Staples,Own Website,Ahmedabad,15,14,0,382.98,5361.72,0.02,107.23,5254.49,0.9784,Partial
ORD002369,2023-01-14,SKU021,Snacks,Flipkart,Bhopal,29,26,0,205.54,5344.04,0.15,801.61,4542.43,0.9117,Partial
ORD001336,2023-01-16,SKU011,Personal Care,Own Website,Chennai,14,13,0,709.94,9229.22,0.02,184.58,9044.64,0.9667,Partial
ORD000459,2023-01-16,SKU015,Personal Care,Amazon,Mumbai,85,80,4,464.63,37170.4,0.18,6690.67,30479.73,0.9522,Partial
ORD002217,2023-01-17,SKU005,Staples,Amazon,Mumbai,53,50,1,225.23,11261.5,0.18,2027.07,9234.43,0.9503,Partial
ORD001871,2023-01-17,SKU042,Household,Flipkart,Hyderabad,31,30,1,142.84,4285.2,0.15,642.78,3642.42,0.998,Partial
ORD002268,2023-01-18,SKU009,Staples,Flipkart,Mumbai,82,80,1,152.97,12237.6,0.15,1835.64,10401.96,0.9862,Partial
ORD001703,2023-01-19,SKU036,Beverages,Own Website,Jaipur,18,17,0,357.08,6070.36,0.02,121.41,5948.95,0.9704,Partial
ORD000181,2023-01-19,SKU030,Snacks,Flipkart,Hyderabad,63,60,1,380.27,22816.2,0.15,3422.43,19393.77,0.9615,Partial
ORD001555,2023-01-19,SKU030,Snacks,Amazon,Delhi,63,61,1,380.27,23196.47,0.18,4175.36,19021.11,0.9821,Partial
ORD001627,2023-01-20,SKU029,Snacks,Modern Trade,Bengaluru,314,278,8,405.47,112720.66,0.1,11272.07,101448.59,0.8862,Partial
ORD001935,2023-01-20,SKU009,Staples,Flipkart,Ahmedabad,64,63,1,152.97,9637.11,0.15,1445.57,8191.54,0.9993,Partial
ORD002012,2023-01-20,SKU047,Household,Amazon,Chennai,88,87,4,151.23,13157.01,0.18,2368.26,10788.75,0.995,Partial
ORD000662,2023-01-21,SKU014,Personal Care,Modern Trade,Pune,334,324,19,476.88,154509.12,0.1,15450.91,139058.21,0.9711,Partial
ORD001756,2023-01-21,SKU048,Household,Amazon,Delhi,62,57,2,166.91,9513.87,0.18,1712.5,7801.37,0.9208,Partial
ORD002475,2023-01-22,SKU001,Staples,Amazon,Mumbai,71,68,1,329.76,22423.68,0.18,4036.26,18387.42,0.9714,Partial
ORD000822,2023-01-22,SKU015,Personal Care,Amazon,Kochi,44,43,2,464.63,19979.09,0.18,3596.24,16382.85,0.9914,Partial
ORD001450,2023-01-22,SKU035,Beverages,Amazon,Lucknow,46,45,1,689.23,31015.35,0.18,5582.76,25432.59,0.9886,Partial
ORD001734,2023-01-22,SKU032,Beverages,Flipkart,Hyderabad,22,21,0,242.42,5090.82,0.15,763.62,4327.2,0.9971,Partial
ORD000908,2023-01-22,SKU038,Beverages,Own Website,Delhi,21,20,0,365.85,7317.0,0.02,146.34,7170.66,0.9735,Partial
ORD000410,2023-01-23,SKU048,Household,Amazon,Ahmedabad,17,16,0,166.91,2670.56,0.18,480.7,2189.86,0.9706,Partial
ORD001661,2023-01-23,SKU015,Personal Care,Amazon,Delhi,104,99,5,464.63,45998.37,0.18,8279.71,37718.66,0.9528,Partial
ORD000706,2023-01-23,SKU014,Personal Care,Amazon,Delhi,53,49,2,476.88,23367.12,0.18,4206.08,19161.04,0.9408,Partial
ORD001652,2023-01-24,SKU004,Staples,Modern Trade,Surat,354,315,6,377.44,118893.6,0.1,11889.36,107004.24,0.8908,Partial
ORD002143,2023-01-24,SKU035,Beverages,Amazon,Bengaluru,59,54,2,689.23,37218.42,0.18,6699.32,30519.1,0.926,Partial
ORD000941,2023-01-25,SKU032,Beverages,Amazon,Delhi,85,78,3,242.42,18908.76,0.18,3403.58,15505.18,0.9227,Partial
ORD002277,2023-01-25,SKU003,Staples,Flipkart,Delhi,72,71,1,126.79,9002.09,0.15,1350.31,7651.78,0.9916,Partial
ORD000036,2023-01-25,SKU049,Household,Amazon,Bengaluru,88,83,4,141.9,11777.7,0.18,2119.99,9657.71,0.9523,Partial
ORD002284,2023-01-25,SKU016,Personal Care,Amazon,Delhi,23,22,1,630.07,13861.54,0.18,2495.08,11366.46,0.9941,Partial
ORD002063,2023-01-25,SKU042,Household,Flipkart,Hyderabad,61,56,2,142.84,7999.04,0.15,1199.86,6799.18,0.9226,Partial
ORD001085,2023-01-25,SKU015,Personal Care,Flipkart,Pune,51,46,2,464.63,21372.98,0.15,3205.95,18167.03,0.9041,Partial
ORD001638,2023-01-25,SKU014,Personal Care,Own Website,Ahmedabad,13,12,0,476.88,5722.56,0.02,114.45,5608.11,0.9949,Partial
ORD002068,2023-01-26,SKU002,Staples,Amazon,Hyderabad,65,63,1,164.7,10376.1,0.18,1867.7,8508.4,0.9702,Partial
ORD000225,2023-01-26,SKU020,Personal Care,Own Website,Chandigarh,7,6,0,591.63,3549.78,0.02,71.0,3478.78,0.969,Partial
ORD000003,2023-01-26,SKU002,Staples,Amazon,Kolkata,103,97,1,164.7,15975.9,0.18,2875.66,13100.24,0.9443,Partial
ORD001126,2023-01-27,SKU035,Beverages,Amazon,Pune,71,67,2,689.23,46178.41,0.18,8312.11,37866.3,0.9492,Partial
ORD002516,2023-01-27,SKU044,Household,Amazon,Hyderabad,14,13,0,143.81,1869.53,0.18,336.52,1533.01,0.9581,Partial
ORD001564,2023-01-28,SKU030,Snacks,Own Website,Lucknow,8,7,0,380.27,2661.89,0.02,53.24,2608.65,0.9954,Partial
ORD000582,2023-01-28,SKU047,Household,Amazon,Kolkata,100,95,4,151.23,14366.85,0.18,2586.03,11780.82,0.9536,Partial
ORD000467,2023-01-29,SKU011,Personal Care,Own Website,Mumbai,17,16,0,709.94,11359.04,0.02,227.18,11131.86,0.9504,Partial
ORD000161,2023-01-29,SKU046,Household,Flipkart,Delhi,64,61,3,290.1,17696.1,0.15,2654.41,15041.69,0.959,Partial
ORD001552,2023-01-29,SKU007,Staples,Flipkart,Jaipur,81,77,1,166.2,12797.4,0.15,1919.61,10877.79,0.9534,Partial
ORD001859,2023-01-29,SKU011,Personal Care,Modern Trade,Chandigarh,644,598,35,709.94,424544.12,0.1,42454.41,382089.71,0.9297,Partial
ORD000973,2023-01-29,SKU044,Household,Own Website,Pune,16,15,0,143.81,2157.15,0.02,43.14,2114.01,0.9771,Partial
ORD000209,2023-01-30,SKU028,Snacks,Flipkart,Jaipur,38,34,1,487.67,16580.78,0.15,2487.12,14093.66,0.9002,Partial
ORD001618,2023-01-30,SKU003,Staples,Amazon,Delhi,23,21,0,126.79,2662.59,0.18,479.27,2183.32,0.9507,Partial
ORD002564,2023-01-30,SKU005,Staples,Amazon,Delhi,35,34,0,225.23,7657.82,0.18,1378.41,6279.41,0.9802,Partial
ORD001530,2023-01-30,SKU010,Staples,Own Website,Delhi,9,8,0,382.98,3063.84,0.02,61.28,3002.56,0.9778,Partial
ORD000574,2023-01-30,SKU014,Personal Care,Own Website,Mumbai,15,14,0,476.88,6676.32,0.02,133.53,6542.79,0.9711,Partial
ORD001027,2023-01-31,SKU040,Beverages,Flipkart,Mumbai,71,66,2,280.51,18513.66,0.15,2777.05,15736.61,0.9366,Partial
ORD001510,2023-01-31,SKU023,Snacks,Own Website,Jaipur,23,22,0,377.41,8303.02,0.02,166.06,8136.96,0.9701,Partial
ORD002105,2023-01-31,SKU040,Beverages,Flipkart,Mumbai,34,31,1,280.51,8695.81,0.15,1304.37,7391.44,0.9262,Partial
ORD000027,2023-01-31,SKU039,Beverages,Own Website,Delhi,2,1,0,645.14,645.14,0.02,12.9,632.24,0.9507,Partial
ORD000126,2023-02-01,SKU001,Staples,Amazon,Surat,60,56,1,329.76,18466.56,0.18,3323.98,15142.58,0.9414,Partial
ORD000906,2023-02-01,SKU032,Beverages,Amazon,Mumbai,59,57,2,242.42,13817.94,0.18,2487.23,11330.71,0.9672,Partial
ORD002497,2023-02-01,SKU018,Personal Care,Amazon,Bengaluru,49,48,2,313.71,15058.08,0.18,2710.45,12347.63,0.9818,Partial
ORD001679,2023-02-02,SKU050,Household,Amazon,Mumbai,75,69,3,217.14,14982.66,0.18,2696.88,12285.78,0.9265,Partial
ORD000333,2023-02-02,SKU026,Snacks,Modern Trade,Chennai,472,437,13,359.69,157184.53,0.1,15718.45,141466.08,0.9274,Partial
ORD001841,2023-02-02,SKU029,Snacks,Flipkart,Mumbai,57,53,1,405.47,21489.91,0.15,3223.49,18266.42,0.93,Partial
ORD001861,2023-02-03,SKU022,Snacks,Amazon,Mumbai,70,69,2,414.2,28579.8,0.18,5144.36,23435.44,0.9894,Partial
ORD000214,2023-02-03,SKU025,Snacks,Own Website,Delhi,10,9,0,305.53,2749.77,0.02,55.0,2694.77,0.991,Partial
ORD000617,2023-02-04,SKU007,Staples,Amazon,Pune,65,59,1,166.2,9805.8,0.18,1765.04,8040.76,0.9215,Partial
ORD001986,2023-02-04,SKU032,Beverages,Flipkart,Chennai,44,40,1,242.42,9696.8,0.15,1454.52,8242.28,0.9108,Partial
ORD002091,2023-02-04,SKU038,Beverages,Flipkart,Ahmedabad,28,26,1,365.85,9512.1,0.15,1426.82,8085.28,0.9532,Partial
ORD001535,2023-02-05,SKU042,Household,Own Website,Ahmedabad,9,8,0,142.84,1142.72,0.02,22.85,1119.87,0.9861,Partial
ORD001114,2023-02-05,SKU029,Snacks,Flipkart,Pune,33,30,0,405.47,12164.1,0.15,1824.62,10339.48,0.9228,Partial
ORD000399,2023-02-05,SKU017,Personal Care,Amazon,Ahmedabad,31,30,1,617.3,18519.0,0.18,3333.42,15185.58,0.9953,Partial
ORD002003,2023-02-06,SKU048,Household,Amazon,Ahmedabad,31,29,1,166.91,4840.39,0.18,871.27,3969.12,0.9406,Partial
ORD001341,2023-02-06,SKU017,Personal Care,Amazon,Hyderabad,65,63,3,617.3,38889.9,0.18,7000.18,31889.72,0.9736,Partial
ORD000660,2023-02-06,SKU023,Snacks,Amazon,Hyderabad,66,63,1,377.41,23776.83,0.18,4279.83,19497.0,0.9654,Partial
ORD001263,2023-02-06,SKU033,Beverages,Modern Trade,Bengaluru,187,168,6,617.04,103662.72,0.1,10366.27,93296.45,0.9012,Partial
ORD000401,2023-02-06,SKU047,Household,Flipkart,Lucknow,8,7,0,151.23,1058.61,0.15,158.79,899.82,0.9708,Partial
ORD002179,2023-02-06,SKU019,Personal Care,Modern Trade,Hyderabad,395,336,20,315.95,106159.2,0.1,10615.92,95543.28,0.8511,Partial
ORD001430,2023-02-07,SKU010,Staples,Flipkart,Mumbai,49,48,0,382.98,18383.04,0.15,2757.46,15625.58,0.9799,Partial
ORD000872,2023-02-07,SKU041,Household,Amazon,Ahmedabad,42,41,2,190.11,7794.51,0.18,1403.01,6391.5,0.9822,Partial
ORD001444,2023-02-07,SKU041,Household,Amazon,Bengaluru,39,36,1,190.11,6843.96,0.18,1231.91,5612.05,0.9266,Partial
ORD000245,2023-02-07,SKU011,Personal Care,Modern Trade,Kolkata,251,221,13,709.94,156896.74,0.1,15689.67,141207.07,0.8805,Partial
ORD002493,2023-02-08,SKU022,Snacks,Amazon,Chennai,20,18,0,414.2,7455.6,0.18,1342.01,6113.59,0.9357,Partial
ORD000696,2023-02-08,SKU050,Household,Flipkart,Jaipur,5,4,0,217.14,868.56,0.15,130.28,738.28,0.9538,Partial
ORD001051,2023-02-08,SKU016,Personal Care,Amazon,Chandigarh,5,4,0,630.07,2520.28,0.18,453.65,2066.63,0.9345,Partial
ORD000690,2023-02-09,SKU031,Beverages,Amazon,Bengaluru,66,61,2,433.59,26448.99,0.18,4760.82,21688.17,0.9353,Partial
ORD001094,2023-02-09,SKU020,Personal Care,Own Website,Bengaluru,18,17,1,591.63,10057.71,0.02,201.15,9856.56,0.9587,Partial
ORD001959,2023-02-09,SKU030,Snacks,Amazon,Hyderabad,18,17,0,380.27,6464.59,0.18,1163.63,5300.96,0.9858,Partial
ORD001750,2023-02-10,SKU050,Household,Own Website,Delhi,7,6,0,217.14,1302.84,0.02,26.06,1276.78,0.9733,Partial
ORD000978,2023-02-10,SKU033,Beverages,Flipkart,Pune,42,38,1,617.04,23447.52,0.15,3517.13,19930.39,0.9169,Partial
ORD000002,2023-02-10,SKU030,Snacks,Amazon,Mumbai,92,87,2,380.27,33083.49,0.18,5955.03,27128.46,0.9493,Partial
ORD000621,2023-02-11,SKU040,Beverages,Amazon,Mumbai,26,24,0,280.51,6732.24,0.18,1211.8,5520.44,0.9366,Partial
ORD002221,2023-02-11,SKU045,Household,Amazon,Mumbai,9,8,0,172.4,1379.2,0.18,248.26,1130.94,0.942,Partial
ORD001503,2023-02-12,SKU031,Beverages,Modern Trade,Kolkata,81,76,3,433.59,32952.84,0.1,3295.28,29657.56,0.9406,Partial
ORD002408,2023-02-12,SKU050,Household,Modern Trade,Bengaluru,324,296,14,217.14,64273.44,0.1,6427.34,57846.1,0.9152,Partial
ORD001856,2023-02-12,SKU035,Beverages,Flipkart,Delhi,15,14,0,689.23,9649.22,0.15,1447.38,8201.84,0.9403,Partial
ORD000541,2023-02-12,SKU024,Snacks,Amazon,Bengaluru,9,8,0,312.26,2498.08,0.18,449.65,2048.43,0.9683,Partial
ORD001001,2023-02-13,SKU047,Household,Amazon,Hyderabad,22,20,1,151.23,3024.6,0.18,544.43,2480.17,0.923,Partial
ORD001130,2023-02-13,SKU012,Personal Care,Flipkart,Pune,53,48,2,363.72,17458.56,0.15,2618.78,14839.78,0.9106,Partial
ORD001563,2023-02-14,SKU029,Snacks,Flipkart,Delhi,36,33,0,405.47,13380.51,0.15,2007.08,11373.43,0.9319,Partial
ORD001711,2023-02-14,SKU028,Snacks,Amazon,Delhi,56,52,1,487.67,25358.84,0.18,4564.59,20794.25,0.9383,Partial
ORD002230,2023-02-14,SKU040,Beverages,Flipkart,Kolkata,33,30,1,280.51,8415.3,0.15,1262.29,7153.01,0.9213,Partial
ORD000961,2023-02-15,SKU015,Personal Care,Amazon,Jaipur,71,68,4,464.63,31594.84,0.18,5687.07,25907.77,0.9677,Partial
ORD002137,2023-02-15,SKU020,Personal Care,Flipkart,Delhi,51,50,3,591.63,29581.5,0.15,4437.22,25144.28,0.9991,Partial
ORD002359,2023-02-15,SKU021,Snacks,Flipkart,Mumbai,45,44,1,205.54,9043.76,0.15,1356.56,7687.2,0.995,Partial
ORD000283,2023-02-15,SKU026,Snacks,Flipkart,Hyderabad,8,7,0,359.69,2517.83,0.15,377.67,2140.16,0.9131,Partial
ORD000667,2023-02-15,SKU021,Snacks,Amazon,Chennai,73,70,2,205.54,14387.8,0.18,2589.8,11798.0,0.9594,Partial
ORD001695,2023-02-16,SKU010,Staples,Amazon,Delhi,65,64,1,382.98,24510.72,0.18,4411.93,20098.79,0.9935,Partial
ORD000097,2023-02-16,SKU038,Beverages,Amazon,Bengaluru,68,64,2,365.85,23414.4,0.18,4214.59,19199.81,0.9503,Partial
ORD001936,2023-02-16,SKU004,Staples,Own Website,Jaipur,19,18,0,377.44,6793.92,0.02,135.88,6658.04,0.98,Partial
ORD001717,2023-02-16,SKU003,Staples,Amazon,Chennai,54,50,1,126.79,6339.5,0.18,1141.11,5198.39,0.9437,Partial
ORD001425,2023-02-17,SKU031,Beverages,Amazon,Mumbai,61,56,2,433.59,24281.04,0.18,4370.59,19910.45,0.9223,Partial
ORD000509,2023-02-17,SKU029,Snacks,Flipkart,Bengaluru,47,45,1,405.47,18246.15,0.15,2736.92,15509.23,0.9737,Partial
ORD000537,2023-02-17,SKU032,Beverages,Amazon,Delhi,28,26,1,242.42,6302.92,0.18,1134.53,5168.39,0.9427,Partial
ORD000792,2023-02-17,SKU049,Household,Own Website,Hyderabad,13,12,0,141.9,1702.8,0.02,34.06,1668.74,0.9781,Partial
ORD000311,2023-02-17,SKU031,Beverages,Amazon,Mumbai,31,30,1,433.59,13007.7,0.18,2341.39,10666.31,0.9904,Partial
ORD002417,2023-02-17,SKU050,Household,Flipkart,Delhi,36,34,1,217.14,7382.76,0.15,1107.41,6275.35,0.9497,Partial
ORD001854,2023-02-18,SKU005,Staples,Flipkart,Ahmedabad,33,32,0,225.23,7207.36,0.15,1081.1,6126.26,0.9764,Partial
ORD000518,2023-02-18,SKU023,Snacks,Amazon,Chennai,46,42,1,377.41,15851.22,0.18,2853.22,12998.0,0.9294,Partial
ORD001589,2023-02-18,SKU020,Personal Care,Amazon,Mumbai,55,54,3,591.63,31948.02,0.18,5750.64,26197.38,0.9886,Partial
ORD001339,2023-02-18,SKU006,Staples,Flipkart,Mumbai,60,57,1,388.68,22154.76,0.15,3323.21,18831.55,0.953,Partial
ORD002576,2023-02-18,SKU036,Beverages,Amazon,Hyderabad,43,40,1,357.08,14283.2,0.18,2570.98,11712.22,0.9315,Partial
ORD002010,2023-02-18,SKU025,Snacks,Amazon,Delhi,12,11,0,305.53,3360.83,0.18,604.95,2755.88,0.9644,Partial
ORD002121,2023-02-18,SKU042,Household,Amazon,Bengaluru,42,41,2,142.84,5856.44,0.18,1054.16,4802.28,0.9939,Partial
ORD000777,2023-02-19,SKU021,Snacks,Flipkart,Pune,29,26,0,205.54,5344.04,0.15,801.61,4542.43,0.9054,Partial
ORD000806,2023-02-19,SKU041,Household,Flipkart,Hyderabad,53,52,2,190.11,9885.72,0.15,1482.86,8402.86,0.9932,Partial
ORD000718,2023-02-20,SKU050,Household,Amazon,Chennai,60,58,2,217.14,12594.12,0.18,2266.94,10327.18,0.9782,Partial
ORD001378,2023-02-20,SKU049,Household,Own Website,Hyderabad,16,15,0,141.9,2128.5,0.02,42.57,2085.93,0.9513,Partial
ORD000658,2023-02-21,SKU046,Household,Amazon,Chennai,12,11,0,290.1,3191.1,0.18,574.4,2616.7,0.9912,Partial
ORD002167,2023-02-21,SKU031,Beverages,Amazon,Chennai,63,59,2,433.59,25581.81,0.18,4604.73,20977.08,0.9485,Partial
ORD000416,2023-02-21,SKU036,Beverages,Amazon,Hyderabad,48,46,1,357.08,16425.68,0.18,2956.62,13469.06,0.9744,Partial
ORD000921,2023-02-21,SKU035,Beverages,Amazon,Chennai,74,68,2,689.23,46867.64,0.18,8436.18,38431.46,0.9292,Partial
ORD000249,2023-02-22,SKU039,Beverages,Flipkart,Jaipur,69,62,2,645.14,39998.68,0.15,5999.8,33998.88,0.908,Partial
ORD000575,2023-02-22,SKU020,Personal Care,Flipkart,Hyderabad,57,54,3,591.63,31948.02,0.15,4792.2,27155.82,0.9514,Partial
ORD001238,2023-02-22,SKU014,Personal Care,Modern Trade,Kolkata,183,166,9,476.88,79162.08,0.1,7916.21,71245.87,0.9104,Partial
ORD000029,2023-02-22,SKU013,Personal Care,Flipkart,Delhi,7,6,0,411.63,2469.78,0.15,370.47,2099.31,0.996,Partial
ORD002087,2023-02-22,SKU015,Personal Care,Flipkart,Bengaluru,25,24,1,464.63,11151.12,0.15,1672.67,9478.45,0.9813,Partial
ORD001853,2023-02-23,SKU002,Staples,Flipkart,Bengaluru,34,33,0,164.7,5435.1,0.15,815.26,4619.84,0.9839,Partial
ORD000001,2023-02-24,SKU014,Personal Care,Flipkart,Kochi,61,57,3,476.88,27182.16,0.15,4077.32,23104.84,0.9408,Partial
ORD000482,2023-02-24,SKU006,Staples,Flipkart,Delhi,22,20,0,388.68,7773.6,0.15,1166.04,6607.56,0.9401,Partial
ORD002400,2023-02-25,SKU038,Beverages,Amazon,Delhi,6,5,0,365.85,1829.25,0.18,329.26,1499.99,0.9507,Partial
ORD002543,2023-02-25,SKU019,Personal Care,Own Website,Chennai,12,11,0,315.95,3475.45,0.02,69.51,3405.94,0.9535,Partial
