snapshot_date,sku_id,warehouse_id,opening_stock,units_received,units_sold,closing_stock,days_of_inventory,stockout_flag,reorder_triggered
2023-01-01,SKU030,WH-BLR,546,1486,109,1923,123.5,0,1
2023-01-01,SKU031,WH-MUM,1224,0,149,1075,50.5,0,0
2023-01-01,SKU031,WH-DEL,1029,0,145,884,42.7,0,0
2023-01-01,SKU031,WH-BLR,1368,0,108,1260,81.7,0,0
2023-01-01,SKU032,WH-MUM,1350,0,80,1270,111.1,0,0
2023-01-01,SKU032,WH-DEL,777,0,149,628,29.5,0,0
2023-01-01,SKU032,WH-BLR,1469,0,80,1389,121.5,0,0
2023-01-01,SKU033,WH-MUM,1201,0,76,1125,103.6,0,0
2023-01-01,SKU033,WH-DEL,1338,0,91,1247,95.9,0,0
2023-01-01,SKU033,WH-BLR,1065,0,57,1008,123.8,0,0
2023-01-01,SKU034,WH-MUM,1196,0,81,1115,96.4,0,0
2023-01-01,SKU034,WH-DEL,323,2355,57,2621,321.9,0,1
2023-01-01,SKU034,WH-BLR,1404,0,59,1345,159.6,0,0
2023-01-01,SKU035,WH-MUM,653,3720,139,4234,213.2,0,1
2023-01-01,SKU035,WH-DEL,426,3720,61,4085,468.8,0,1
2023-01-01,SKU035,WH-BLR,352,3720,44,4028,640.8,0,1
2023-01-01,SKU036,WH-MUM,831,0,66,765,81.1,0,0
2023-01-01,SKU036,WH-DEL,1406,0,127,1279,70.5,0,0
2023-01-01,SKU036,WH-BLR,395,3240,44,3591,571.3,0,1
2023-01-01,SKU037,WH-MUM,1157,0,72,1085,105.5,0,0
2023-01-01,SKU037,WH-DEL,1271,0,83,1188,100.2,0,0
2023-01-01,SKU037,WH-BLR,955,0,85,870,71.6,0,0
2023-01-01,SKU038,WH-MUM,1269,0,77,1192,108.4,0,0
2023-01-01,SKU038,WH-DEL,491,0,127,364,20.1,0,0
2023-01-01,SKU038,WH-BLR,668,0,121,547,31.6,0,0
2023-01-01,SKU039,WH-MUM,686,2178,109,2755,176.9,0,1
2023-01-01,SKU039,WH-DEL,1078,0,55,1023,130.2,0,0
2023-01-01,SKU039,WH-BLR,1453,0,80,1373,120.1,0,0
2023-01-01,SKU040,WH-MUM,474,4700,169,5005,207.3,0,1
2023-01-01,SKU040,WH-DEL,913,4700,67,5546,579.4,0,1
2023-01-01,SKU040,WH-BLR,1125,0,69,1056,107.1,0,0
2023-01-01,SKU041,WH-MUM,987,0,11,976,621.1,0,0
2023-01-01,SKU041,WH-DEL,972,0,8,964,843.5,0,0
2023-01-01,SKU041,WH-BLR,1123,0,7,1116,1116.0,0,0
2023-01-01,SKU042,WH-MUM,1846,0,14,1832,916.0,0,0
2023-01-01,SKU042,WH-DEL,1823,0,8,1815,1588.1,0,0
2023-01-01,SKU042,WH-BLR,1353,0,7,1346,1346.0,0,0
2023-01-01,SKU043,WH-MUM,1138,0,7,1131,1131.0,0,0
2023-01-01,SKU043,WH-DEL,1667,0,2,1665,5827.5,0,0
2023-01-01,SKU043,WH-BLR,1946,0,3,1943,4533.7,0,0
2023-01-01,SKU044,WH-MUM,1833,0,13,1820,980.0,0,0
2023-01-01,SKU044,WH-DEL,1108,0,12,1096,639.3,0,0
2023-01-01,SKU044,WH-BLR,1748,0,6,1742,2032.3,0,0
2023-01-01,SKU045,WH-MUM,1603,0,3,1600,3733.3,0,0
2023-01-01,SKU045,WH-DEL,1984,0,2,1982,6937.0,0,0
2023-01-01,SKU045,WH-BLR,1777,0,2,1775,6212.5,0,0
2023-01-01,SKU046,WH-MUM,902,0,3,899,2097.7,0,0
2023-01-01,SKU046,WH-DEL,1347,0,9,1338,1040.7,0,0
2023-01-01,SKU046,WH-BLR,888,0,7,881,881.0,0,0
2023-01-01,SKU047,WH-MUM,1526,0,14,1512,756.0,0,0
2023-01-01,SKU047,WH-DEL,1269,0,3,1266,2954.0,0,0
2023-01-01,SKU047,WH-BLR,1041,0,9,1032,802.7,0,0
2023-01-01,SKU048,WH-MUM,1329,0,15,1314,613.2,0,0
2023-01-01,SKU048,WH-DEL,981,0,11,970,617.3,0,0
2023-01-01,SKU048,WH-BLR,1989,0,5,1984,2777.6,0,0
2023-01-01,SKU049,WH-MUM,1667,0,5,1662,2326.8,0,0
2023-01-01,SKU049,WH-DEL,1030,0,8,1022,894.2,0,0
2023-01-01,SKU049,WH-BLR,1526,0,1,1525,10675.0,0,0
2023-01-01,SKU050,WH-MUM,1674,0,6,1668,1946.0,0,0
2023-01-01,SKU050,WH-DEL,890,0,2,888,3108.0,0,0
2023-01-01,SKU050,WH-BLR,1812,0,1,1811,12677.0,0,0
2023-01-08,SKU001,WH-MUM,1084,0,97,987,71.2,0,0
2023-01-08,SKU001,WH-DEL,933,0,165,768,32.6,0,0
2023-01-08,SKU001,WH-BLR,1291,0,145,1146,55.3,0,0
2023-01-08,SKU002,WH-MUM,1110,0,153,957,43.8,0,0
2023-01-08,SKU002,WH-DEL,645,0,178,467,18.4,0,0
2023-01-08,SKU002,WH-BLR,346,0,67,279,29.1,0,0
2023-01-08,SKU003,WH-MUM,2006,0,102,1904,130.7,0,0
2023-01-08,SKU003,WH-DEL,1113,0,161,952,41.4,0,0
2023-01-08,SKU003,WH-BLR,1106,0,84,1022,85.2,0,0
2023-01-08,SKU004,WH-MUM,4165,0,181,3984,154.1,0,0
2023-01-08,SKU004,WH-DEL,1013,0,156,857,38.5,0,0
2023-01-08,SKU004,WH-BLR,933,0,144,789,38.4,0,0
2023-01-08,SKU005,WH-MUM,1231,0,156,1075,48.2,0,0
2023-01-08,SKU005,WH-DEL,3676,0,183,3493,133.6,0,0
2023-01-08,SKU005,WH-BLR,3299,0,92,3207,244.0,0,0
2023-01-08,SKU006,WH-MUM,923,0,133,790,41.6,0,0
2023-01-08,SKU006,WH-DEL,981,0,191,790,29.0,0,0
2023-01-08,SKU006,WH-BLR,410,1680,145,1945,93.9,0,1
2023-01-08,SKU007,WH-MUM,419,2208,163,2464,105.8,0,1
2023-01-08,SKU007,WH-DEL,622,0,151,471,21.8,0,0
2023-01-08,SKU007,WH-BLR,1218,0,82,1136,97.0,0,0
2023-01-08,SKU008,WH-MUM,676,0,151,525,24.3,0,0
2023-01-08,SKU008,WH-DEL,239,1635,198,1676,59.3,0,1
2023-01-08,SKU008,WH-BLR,1180,0,115,1065,64.8,0,0
2023-01-08,SKU009,WH-MUM,1091,0,159,932,41.0,0,0
2023-01-08,SKU009,WH-DEL,1308,0,174,1134,45.6,0,0
2023-01-08,SKU009,WH-BLR,745,3332,79,3998,354.3,0,1
2023-01-08,SKU010,WH-MUM,3295,0,167,3128,131.1,0,0
2023-01-08,SKU010,WH-DEL,3234,0,149,3085,144.9,0,0
2023-01-08,SKU010,WH-BLR,3169,0,130,3039,163.6,0,0
2023-01-08,SKU011,WH-MUM,873,0,110,763,48.6,0,0
2023-01-08,SKU011,WH-DEL,1095,0,44,1051,167.2,0,0
2023-01-08,SKU011,WH-BLR,632,0,65,567,61.1,0,0
2023-01-08,SKU012,WH-MUM,674,0,116,558,33.7,0,0
2023-01-08,SKU012,WH-DEL,1286,0,81,1205,104.1,0,0
2023-01-08,SKU012,WH-BLR,826,0,38,788,145.2,0,0
2023-01-08,SKU013,WH-MUM,1379,0,126,1253,69.6,0,0
2023-01-08,SKU013,WH-DEL,1360,0,45,1315,204.6,0,0
2023-01-08,SKU013,WH-BLR,2280,0,48,2232,325.5,0,0
2023-01-08,SKU014,WH-MUM,1128,0,137,991,50.6,0,0
2023-01-08,SKU014,WH-DEL,2116,0,108,2008,130.1,0,0
2023-01-08,SKU014,WH-BLR,360,1835,40,2155,377.1,0,1
2023-01-08,SKU015,WH-MUM,3442,0,147,3295,156.9,0,0
2023-01-08,SKU015,WH-DEL,3237,0,47,3190,475.1,0,0
2023-01-08,SKU015,WH-BLR,1123,0,88,1035,82.3,0,0
2023-01-08,SKU016,WH-MUM,491,0,133,358,18.8,0,0
2023-01-08,SKU016,WH-DEL,1133,0,41,1092,186.4,0,0
2023-01-08,SKU016,WH-BLR,673,0,57,616,75.6,0,0
2023-01-08,SKU017,WH-MUM,1148,0,66,1082,114.8,0,0
2023-01-08,SKU017,WH-DEL,1975,0,65,1910,205.7,0,0
2023-01-08,SKU017,WH-BLR,1294,0,63,1231,136.8,0,0
2023-01-08,SKU018,WH-MUM,1115,0,105,1010,67.3,0,0
2023-01-08,SKU018,WH-DEL,1317,0,116,1201,72.5,0,0
2023-01-08,SKU018,WH-BLR,2606,0,81,2525,218.2,0,0
2023-01-08,SKU019,WH-MUM,3395,0,120,3275,191.0,0,0
2023-01-08,SKU019,WH-DEL,3441,0,73,3368,323.0,0,0
2023-01-08,SKU019,WH-BLR,1099,0,50,1049,146.9,0,0
2023-01-08,SKU020,WH-MUM,2704,0,95,2609,192.2,0,0
2023-01-08,SKU020,WH-DEL,513,2432,97,2848,205.5,0,1
2023-01-08,SKU020,WH-BLR,2714,0,55,2659,338.4,0,0
2023-01-08,SKU021,WH-MUM,673,1410,100,1983,138.8,0,1
2023-01-08,SKU021,WH-DEL,1733,0,84,1649,137.4,0,0
2023-01-08,SKU021,WH-BLR,1289,0,107,1182,77.3,0,0
2023-01-08,SKU022,WH-MUM,2897,0,102,2795,191.8,0,0
2023-01-08,SKU022,WH-DEL,3173,0,62,3111,351.2,0,0
2023-01-08,SKU022,WH-BLR,978,0,127,851,46.9,0,0
2023-01-08,SKU023,WH-MUM,1282,0,150,1132,52.8,0,0
2023-01-08,SKU023,WH-DEL,1187,0,173,1014,41.0,0,0
2023-01-08,SKU023,WH-BLR,1274,0,121,1153,66.7,0,0
2023-01-08,SKU024,WH-MUM,1352,0,222,1130,35.6,0,0
2023-01-08,SKU024,WH-DEL,1154,0,159,995,43.8,0,0
2023-01-08,SKU024,WH-BLR,2060,0,53,2007,265.1,0,0
2023-01-08,SKU025,WH-MUM,3336,0,109,3227,207.2,0,0
2023-01-08,SKU025,WH-DEL,3291,0,164,3127,133.5,0,0
2023-01-08,SKU025,WH-BLR,1084,0,64,1020,111.6,0,0
2023-01-08,SKU026,WH-MUM,2134,0,162,1972,85.2,0,0
2023-01-08,SKU026,WH-DEL,1256,0,69,1187,120.4,0,0
2023-01-08,SKU026,WH-BLR,1201,0,46,1155,175.8,0,0
2023-01-08,SKU027,WH-MUM,4421,0,158,4263,188.9,0,0
2023-01-08,SKU027,WH-DEL,1267,0,165,1102,46.8,0,0
2023-01-08,SKU027,WH-BLR,4040,0,113,3927,243.3,0,0
2023-01-08,SKU028,WH-MUM,323,0,149,174,8.2,0,0
2023-01-08,SKU028,WH-DEL,1270,0,134,1136,59.3,0,0
2023-01-08,SKU028,WH-BLR,1070,0,61,1009,115.8,0,0
2023-01-08,SKU029,WH-MUM,698,0,192,506,18.4,0,0
2023-01-08,SKU029,WH-DEL,738,0,148,590,27.9,0,0
2023-01-08,SKU029,WH-BLR,1327,0,149,1178,55.3,0,0
2023-01-08,SKU030,WH-MUM,1861,0,188,1673,62.3,0,0
2023-01-08,SKU030,WH-DEL,1962,0,187,1775,66.4,0,0
2023-01-08,SKU030,WH-BLR,1923,0,111,1812,114.3,0,0
2023-01-08,SKU031,WH-MUM,1075,0,92,983,74.8,0,0
2023-01-08,SKU031,WH-DEL,884,0,126,758,42.1,0,0
2023-01-08,SKU031,WH-BLR,1260,0,89,1171,92.1,0,0
2023-01-08,SKU032,WH-MUM,1270,0,181,1089,42.1,0,0
2023-01-08,SKU032,WH-DEL,628,0,129,499,27.1,0,0
2023-01-08,SKU032,WH-BLR,1389,0,95,1294,95.3,0,0
2023-01-08,SKU033,WH-MUM,1125,0,97,1028,74.2,0,0
2023-01-08,SKU033,WH-DEL,1247,0,105,1142,76.1,0,0
2023-01-08,SKU033,WH-BLR,1008,0,48,960,140.0,0,0
2023-01-08,SKU034,WH-MUM,1115,0,178,937,36.8,0,0
2023-01-08,SKU034,WH-DEL,2621,0,54,2567,332.8,0,0
2023-01-08,SKU034,WH-BLR,1345,0,46,1299,197.7,0,0
2023-01-08,SKU035,WH-MUM,4234,0,126,4108,228.2,0,0
2023-01-08,SKU035,WH-DEL,4085,0,124,3961,223.6,0,0
2023-01-08,SKU035,WH-BLR,4028,0,43,3985,648.7,0,0
2023-01-08,SKU036,WH-MUM,765,0,163,602,25.9,0,0
2023-01-08,SKU036,WH-DEL,1279,0,68,1211,124.7,0,0
2023-01-08,SKU036,WH-BLR,3591,0,66,3525,373.9,0,0
2023-01-08,SKU037,WH-MUM,1085,0,113,972,60.2,0,0
2023-01-08,SKU037,WH-DEL,1188,0,66,1122,119.0,0,0
2023-01-08,SKU037,WH-BLR,870,0,84,786,65.5,0,0
2023-01-08,SKU038,WH-MUM,1192,0,171,1021,41.8,0,0
2023-01-08,SKU038,WH-DEL,364,868,71,1161,114.5,0,1
2023-01-08,SKU038,WH-BLR,547,0,72,475,46.2,0,0
2023-01-08,SKU039,WH-MUM,2755,0,158,2597,115.1,0,0
2023-01-08,SKU039,WH-DEL,1023,0,142,881,43.4,0,0
2023-01-08,SKU039,WH-BLR,1373,0,73,1300,124.7,0,0
2023-01-08,SKU040,WH-MUM,5005,0,80,4925,430.9,0,0
2023-01-08,SKU040,WH-DEL,5546,0,72,5474,532.2,0,0
2023-01-08,SKU040,WH-BLR,1056,0,50,1006,140.8,0,0
2023-01-08,SKU041,WH-MUM,976,0,10,966,676.2,0,0
2023-01-08,SKU041,WH-DEL,964,0,8,956,836.5,0,0
2023-01-08,SKU041,WH-BLR,1116,0,7,1109,1109.0,0,0
2023-01-08,SKU042,WH-MUM,1832,0,5,1827,2557.8,0,0
2023-01-08,SKU042,WH-DEL,1815,0,9,1806,1404.7,0,0
2023-01-08,SKU042,WH-BLR,1346,0,9,1337,1039.9,0,0
2023-01-08,SKU043,WH-MUM,1131,0,4,1127,1972.2,0,0
2023-01-08,SKU043,WH-DEL,1665,0,4,1661,2906.8,0,0
2023-01-08,SKU043,WH-BLR,1943,0,8,1935,1693.1,0,0
2023-01-08,SKU044,WH-MUM,1820,0,2,1818,6363.0,0,0
2023-01-08,SKU044,WH-DEL,1096,0,9,1087,845.4,0,0
2023-01-08,SKU044,WH-BLR,1742,0,8,1734,1517.2,0,0
2023-01-08,SKU045,WH-MUM,1600,0,7,1593,1593.0,0,0
2023-01-08,SKU045,WH-DEL,1982,0,5,1977,2767.8,0,0
2023-01-08,SKU045,WH-BLR,1775,0,9,1766,1373.6,0,0
2023-01-08,SKU046,WH-MUM,899,0,7,892,892.0,0,0
2023-01-08,SKU046,WH-DEL,1338,0,12,1326,773.5,0,0
2023-01-08,SKU046,WH-BLR,881,0,4,877,1534.8,0,0
2023-01-08,SKU047,WH-MUM,1512,0,7,1505,1505.0,0,0
2023-01-08,SKU047,WH-DEL,1266,0,12,1254,731.5,0,0
2023-01-08,SKU047,WH-BLR,1032,0,4,1028,1799.0,0,0
2023-01-08,SKU048,WH-MUM,1314,0,15,1299,606.2,0,0
2023-01-08,SKU048,WH-DEL,970,0,4,966,1690.5,0,0
2023-01-08,SKU048,WH-BLR,1984,0,4,1980,3465.0,0,0
2023-01-08,SKU049,WH-MUM,1662,0,8,1654,1447.2,0,0
2023-01-08,SKU049,WH-DEL,1022,0,10,1012,708.4,0,0
2023-01-08,SKU049,WH-BLR,1525,0,2,1523,5330.5,0,0
2023-01-08,SKU050,WH-MUM,1668,0,10,1658,1160.6,0,0
2023-01-08,SKU050,WH-DEL,888,0,10,878,614.6,0,0
2023-01-08,SKU050,WH-BLR,1811,0,9,1802,1401.6,0,0
2023-01-15,SKU001,WH-MUM,987,0,190,797,29.4,0,0
2023-01-15,SKU001,WH-DEL,768,0,107,661,43.2,0,0
2023-01-15,SKU001,WH-BLR,1146,0,148,998,47.2,0,0
2023-01-15,SKU002,WH-MUM,957,0,180,777,30.2,0,0
2023-01-15,SKU002,WH-DEL,467,0,113,354,21.9,0,0
2023-01-15,SKU002,WH-BLR,279,1445,133,1591,83.7,0,1
2023-01-15,SKU003,WH-MUM,1904,0,203,1701,58.7,0,0
2023-01-15,SKU003,WH-DEL,952,0,208,744,25.0,0,0
2023-01-15,SKU003,WH-BLR,1022,0,70,952,95.2,0,0
2023-01-15,SKU004,WH-MUM,3984,0,118,3866,229.3,0,0
2023-01-15,SKU004,WH-DEL,857,0,170,687,28.3,0,0
2023-01-15,SKU004,WH-BLR,789,0,88,701,55.8,0,0
2023-01-15,SKU005,WH-MUM,1075,0,190,885,32.6,0,0
2023-01-15,SKU005,WH-DEL,3493,0,195,3298,118.4,0,0
2023-01-15,SKU005,WH-BLR,3207,0,101,3106,215.3,0,0
2023-01-15,SKU006,WH-MUM,790,0,123,667,38.0,0,0
2023-01-15,SKU006,WH-DEL,790,0,153,637,29.1,0,0
2023-01-15,SKU006,WH-BLR,1945,0,105,1840,122.7,0,0
2023-01-15,SKU007,WH-MUM,2464,0,112,2352,147.0,0,0
2023-01-15,SKU007,WH-DEL,471,2208,147,2532,120.6,0,1
2023-01-15,SKU007,WH-BLR,1136,0,102,1034,71.0,0,0
2023-01-15,SKU008,WH-MUM,525,0,120,405,23.6,0,0
2023-01-15,SKU008,WH-DEL,1676,0,135,1541,79.9,0,0
2023-01-15,SKU008,WH-BLR,1065,0,114,951,58.4,0,0
2023-01-15,SKU009,WH-MUM,932,0,181,751,29.0,0,0
2023-01-15,SKU009,WH-DEL,1134,0,106,1028,67.9,0,0
2023-01-15,SKU009,WH-BLR,3998,0,73,3925,376.4,0,0
2023-01-15,SKU010,WH-MUM,3128,0,195,2933,105.3,0,0
2023-01-15,SKU010,WH-DEL,3085,0,146,2939,140.9,0,0
2023-01-15,SKU010,WH-BLR,3039,0,87,2952,237.5,0,0
2023-01-15,SKU011,WH-MUM,763,0,72,691,67.2,0,0
2023-01-15,SKU011,WH-DEL,1051,0,54,997,129.2,0,0
2023-01-15,SKU011,WH-BLR,567,0,88,479,38.1,0,0
2023-01-15,SKU012,WH-MUM,558,0,127,431,23.8,0,0
2023-01-15,SKU012,WH-DEL,1205,0,97,1108,80.0,0,0
2023-01-15,SKU012,WH-BLR,788,0,69,719,72.9,0,0
2023-01-15,SKU013,WH-MUM,1253,0,128,1125,61.5,0,0
2023-01-15,SKU013,WH-DEL,1315,0,113,1202,74.5,0,0
2023-01-15,SKU013,WH-BLR,2232,0,58,2174,262.4,0,0
2023-01-15,SKU014,WH-MUM,991,0,86,905,73.7,0,0
2023-01-15,SKU014,WH-DEL,2008,0,120,1888,110.1,0,0
2023-01-15,SKU014,WH-BLR,2155,0,52,2103,283.1,0,0
2023-01-15,SKU015,WH-MUM,3295,0,120,3175,185.2,0,0
2023-01-15,SKU015,WH-DEL,3190,0,94,3096,230.6,0,0
2023-01-15,SKU015,WH-BLR,1035,0,57,978,120.1,0,0
2023-01-15,SKU016,WH-MUM,358,868,131,1095,58.5,0,1
2023-01-15,SKU016,WH-DEL,1092,0,73,1019,97.7,0,0
2023-01-15,SKU016,WH-BLR,616,0,33,583,123.7,0,0
2023-01-15,SKU017,WH-MUM,1082,0,136,946,48.7,0,0
2023-01-15,SKU017,WH-DEL,1910,0,86,1824,148.5,0,0
2023-01-15,SKU017,WH-BLR,1231,0,43,1188,193.4,0,0
2023-01-15,SKU018,WH-MUM,1010,0,45,965,150.1,0,0
2023-01-15,SKU018,WH-DEL,1201,0,55,1146,145.9,0,0
2023-01-15,SKU018,WH-BLR,2525,0,59,2466,292.6,0,0
2023-01-15,SKU019,WH-MUM,3275,0,107,3168,207.3,0,0
2023-01-15,SKU019,WH-DEL,3368,0,102,3266,224.1,0,0
2023-01-15,SKU019,WH-BLR,1049,0,73,976,93.6,0,0
2023-01-15,SKU020,WH-MUM,2609,0,106,2503,165.3,0,0
2023-01-15,SKU020,WH-DEL,2848,0,118,2730,161.9,0,0
2023-01-15,SKU020,WH-BLR,2659,0,71,2588,255.2,0,0
2023-01-15,SKU021,WH-MUM,1983,0,199,1784,62.8,0,0
2023-01-15,SKU021,WH-DEL,1649,0,138,1511,76.6,0,0
2023-01-15,SKU021,WH-BLR,1182,0,92,1090,82.9,0,0
2023-01-15,SKU022,WH-MUM,2795,0,79,2716,240.7,0,0
2023-01-15,SKU022,WH-DEL,3111,0,170,2941,121.1,0,0
2023-01-15,SKU022,WH-BLR,851,0,108,743,48.2,0,0
2023-01-15,SKU023,WH-MUM,1132,0,66,1066,113.1,0,0
2023-01-15,SKU023,WH-DEL,1014,0,117,897,53.7,0,0
2023-01-15,SKU023,WH-BLR,1153,0,97,1056,76.2,0,0
2023-01-15,SKU024,WH-MUM,1130,0,210,920,30.7,0,0
2023-01-15,SKU024,WH-DEL,995,0,182,813,31.3,0,0
2023-01-15,SKU024,WH-BLR,2007,0,121,1886,109.1,0,0
2023-01-15,SKU025,WH-MUM,3227,0,119,3108,182.8,0,0
2023-01-15,SKU025,WH-DEL,3127,0,158,2969,131.5,0,0
2023-01-15,SKU025,WH-BLR,1020,0,86,934,76.0,0,0
2023-01-15,SKU026,WH-MUM,1972,0,173,1799,72.8,0,0
2023-01-15,SKU026,WH-DEL,1187,0,106,1081,71.4,0,0
2023-01-15,SKU026,WH-BLR,1155,0,115,1040,63.3,0,0
2023-01-15,SKU027,WH-MUM,4263,0,150,4113,191.9,0,0
