po_id,supplier_id,sku_id,order_date,promised_delivery_date,actual_delivery_date,ordered_qty,received_qty,defect_qty,unit_cost_inr,po_value_inr,delay_days,po_status,fill_rate,defect_rate,is_delayed,is_cancelled,order_month,order_quarter,order_year
PO00036,SUP001,SKU007,2024-09-13,2024-09-20,2024-09-20,3048,2912,18,104.53,318607.44,0.0,Partial,0.9554,0.0062,0,0,2024-09,2024Q3,2024
PO00037,SUP001,SKU010,2024-02-11,2024-02-18,2024-02-16,2489,2377,40,218.56,543995.84,0.0,Delivered,0.955,0.0168,0,0,2024-02,2024Q1,2024
PO00038,SUP001,SKU006,2023-05-04,2023-05-11,2023-05-11,3344,3265,4,247.55,827807.2,0.0,Delivered,0.9764,0.0012,0,0,2023-05,2023Q2,2023
PO00039,SUP001,SKU003,2023-01-13,2023-01-20,2023-01-20,4051,4043,67,87.63,354989.13,0.0,Delivered,0.998,0.0166,0,0,2023-01,2023Q1,2023
PO00040,SUP001,SKU008,2024-03-21,2024-03-28,2024-03-26,2712,2659,41,273.71,742301.52,0.0,Delivered,0.9805,0.0154,0,0,2024-03,2024Q1,2024
PO00041,SUP001,SKU004,2024-03-22,2024-03-29,2024-03-28,2511,2489,43,214.7,539111.7,0.0,Partial,0.9912,0.0173,0,0,2024-03,2024Q1,2024
PO00042,SUP001,SKU006,2024-04-20,2024-04-27,2024-04-26,735,716,6,247.55,181949.25,0.0,Partial,0.9741,0.0084,0,0,2024-04,2024Q2,2024
PO00043,SUP001,SKU004,2023-09-22,2023-09-29,2023-09-27,2763,2701,10,214.7,593216.1,0.0,Delivered,0.9776,0.0037,0,0,2023-09,2023Q3,2023
PO00044,SUP001,SKU002,2024-02-21,2024-02-28,2024-02-26,4400,4322,68,113.49,499356.0,0.0,Delivered,0.9823,0.0157,0,0,2024-02,2024Q1,2024
PO00045,SUP001,SKU009,2023-10-29,2023-11-05,2023-11-04,3523,3430,29,98.91,348459.93,0.0,Delivered,0.9736,0.0085,0,0,2023-10,2023Q4,2023
PO00046,SUP001,SKU009,2023-12-05,2023-12-12,2023-12-11,2559,2460,15,98.91,253110.69,0.0,Delivered,0.9613,0.0061,0,0,2023-12,2023Q4,2023
PO00047,SUP001,SKU005,2023-07-09,2023-07-16,2023-07-15,4797,4700,78,132.91,637569.27,0.0,Delivered,0.9798,0.0166,0,0,2023-07,2023Q3,2023
PO00048,SUP001,SKU005,2023-08-21,2023-08-28,2023-08-26,4875,4662,5,132.91,647936.25,0.0,Partial,0.9563,0.0011,0,0,2023-08,2023Q3,2023
PO00049,SUP001,SKU003,2023-05-10,2023-05-17,2023-05-17,600,587,5,87.63,52578.0,0.0,Delivered,0.9783,0.0085,0,0,2023-05,2023Q2,2023
PO00050,SUP001,SKU001,2023-02-22,2023-03-01,2023-03-01,1035,1003,12,233.46,241631.1,0.0,Partial,0.9691,0.012,0,0,2023-02,2023Q1,2023
PO00051,SUP001,SKU010,2023-06-05,2023-06-12,2023-06-11,1197,1196,18,218.56,261616.32,0.0,Partial,0.9992,0.0151,0,0,2023-06,2023Q2,2023
PO00052,SUP001,SKU007,2024-09-02,2024-09-09,2024-09-07,3616,3516,60,104.53,377980.48,0.0,Delivered,0.9723,0.0171,0,0,2024-09,2024Q3,2024
PO00053,SUP001,SKU004,2023-11-09,2023-11-16,2023-11-17,2202,2160,3,214.7,472769.4,1.0,Partial,0.9809,0.0014,1,0,2023-11,2023Q4,2023
PO00054,SUP001,SKU005,2023-06-27,2023-07-04,2023-07-03,4190,4124,2,132.91,556892.9,0.0,Delivered,0.9842,0.0005,0,0,2023-06,2023Q2,2023
PO00055,SUP001,SKU004,2023-10-17,2023-10-24,2023-10-22,2412,2402,30,214.7,517856.4,0.0,Delivered,0.9959,0.0125,0,0,2023-10,2023Q4,2023
PO00056,SUP001,SKU005,2024-03-11,2024-03-18,2024-03-18,2676,2652,8,132.91,355667.16,0.0,Partial,0.991,0.003,0,0,2024-03,2024Q1,2024
PO00057,SUP001,SKU005,2024-09-01,2024-09-08,2024-09-07,4097,3917,54,132.91,544532.27,0.0,Delivered,0.9561,0.0138,0,0,2024-09,2024Q3,2024
PO00058,SUP001,SKU001,2024-05-27,2024-06-03,2024-06-01,826,821,9,233.46,192837.96,0.0,Delivered,0.9939,0.011,0,0,2024-05,2024Q2,2024
PO00059,SUP001,SKU001,2023-04-04,2023-04-11,2023-04-09,669,668,3,233.46,156184.74,0.0,Delivered,0.9985,0.0045,0,0,2023-04,2023Q2,2023
PO00060,SUP001,SKU002,2023-06-29,2023-07-06,2023-07-05,1986,1985,32,113.49,225391.14,0.0,Delivered,0.9995,0.0161,0,0,2023-06,2023Q2,2023
PO00061,SUP001,SKU005,2024-04-26,2024-05-03,2024-05-01,1356,1346,18,132.91,180225.96,0.0,Partial,0.9926,0.0134,0,0,2024-04,2024Q2,2024
PO00062,SUP001,SKU007,2024-11-09,2024-11-16,2024-11-14,800,778,5,104.53,83624.0,0.0,Partial,0.9725,0.0064,0,0,2024-11,2024Q4,2024
PO00063,SUP001,SKU008,2024-06-10,2024-06-17,2024-06-22,4284,4158,30,273.71,1172573.64,5.0,Partial,0.9706,0.0072,1,0,2024-06,2024Q2,2024
PO00064,SUP001,SKU008,2024-10-02,2024-10-09,2024-10-12,4999,4781,84,273.71,1368276.29,3.0,Partial,0.9564,0.0176,1,0,2024-10,2024Q4,2024
PO00065,SUP001,SKU004,2023-05-05,2023-05-12,2023-05-12,1797,1735,14,214.7,385815.9,0.0,Partial,0.9655,0.0081,0,0,2023-05,2023Q2,2023
PO00066,SUP001,SKU007,2023-04-27,2023-05-04,2023-05-04,4582,4566,64,104.53,478956.46,0.0,Partial,0.9965,0.014,0,0,2023-04,2023Q2,2023
PO00067,SUP001,SKU003,2024-05-09,2024-05-16,2024-05-14,1684,1632,16,87.63,147568.92,0.0,Delivered,0.9691,0.0098,0,0,2024-05,2024Q2,2024
PO00068,SUP001,SKU005,2023-03-13,2023-03-20,2023-03-19,3284,3273,53,132.91,436476.44,0.0,Delivered,0.9967,0.0162,0,0,2023-03,2023Q1,2023
PO00069,SUP001,SKU006,2023-11-02,2023-11-09,2023-11-07,4511,4480,43,247.55,1116698.05,0.0,Delivered,0.9931,0.0096,0,0,2023-11,2023Q4,2023
PO00070,SUP001,SKU007,2024-07-19,2024-07-26,2024-07-25,2045,2043,15,104.53,213763.85,0.0,Partial,0.999,0.0073,0,0,2024-07,2024Q3,2024
PO00071,SUP001,SKU003,2023-02-14,2023-02-21,2023-02-20,3662,3659,47,87.63,320901.06,0.0,Delivered,0.9992,0.0128,0,0,2023-02,2023Q1,2023
PO00072,SUP001,SKU009,2024-05-22,2024-05-29,2024-05-27,3219,3198,28,98.91,318391.29,0.0,Delivered,0.9935,0.0088,0,0,2024-05,2024Q2,2024
PO00073,SUP001,SKU010,2024-04-12,2024-04-19,2024-04-17,1764,1682,8,218.56,385539.84,0.0,Delivered,0.9535,0.0048,0,0,2024-04,2024Q2,2024
PO00074,SUP001,SKU008,2024-02-12,2024-02-19,2024-02-17,4871,4720,67,273.71,1333241.41,0.0,Partial,0.969,0.0142,0,0,2024-02,2024Q1,2024
PO00075,SUP001,SKU002,2024-07-08,2024-07-15,2024-07-18,2363,2333,4,113.49,268176.87,3.0,Delivered,0.9873,0.0017,1,0,2024-07,2024Q3,2024
PO00076,SUP001,SKU007,2024-03-30,2024-04-06,2024-04-06,876,846,6,104.53,91568.28,0.0,Partial,0.9658,0.0071,0,0,2024-03,2024Q1,2024
PO00077,SUP001,SKU010,2023-05-30,2023-06-06,2023-06-04,1975,1893,32,218.56,431656.0,0.0,Partial,0.9585,0.0169,0,0,2023-05,2023Q2,2023
PO00078,SUP001,SKU001,2024-11-30,2024-12-07,2024-12-07,2402,2337,11,233.46,560770.92,0.0,Partial,0.9729,0.0047,0,0,2024-11,2024Q4,2024
PO00079,SUP001,SKU007,2024-04-21,2024-04-28,2024-04-28,1105,1074,12,104.53,115505.65,0.0,Partial,0.9719,0.0112,0,0,2024-04,2024Q2,2024
PO00080,SUP001,SKU005,2023-09-14,2023-09-21,2023-09-20,4458,4258,30,132.91,592512.78,0.0,Partial,0.9551,0.007,0,0,2023-09,2023Q3,2023
PO00081,SUP001,SKU001,2023-10-30,2023-11-06,2023-11-05,2748,2611,40,233.46,641548.08,0.0,Delivered,0.9501,0.0153,0,0,2023-10,2023Q4,2023
PO00082,SUP001,SKU010,2024-09-12,2024-09-19,2024-09-18,2385,2338,29,218.56,521265.6,0.0,Partial,0.9803,0.0124,0,0,2024-09,2024Q3,2024
PO00083,SUP001,SKU005,2023-09-14,2023-09-21,2023-09-19,1620,1589,20,132.91,215314.2,0.0,Delivered,0.9809,0.0126,0,0,2023-09,2023Q3,2023
PO00084,SUP001,SKU004,2024-03-27,2024-04-03,2024-04-03,1238,1232,10,214.7,265798.6,0.0,Partial,0.9952,0.0081,0,0,2024-03,2024Q1,2024
PO00085,SUP001,SKU008,2023-05-16,2023-05-23,2023-05-22,4848,4727,15,273.71,1326946.08,0.0,Partial,0.975,0.0032,0,0,2023-05,2023Q2,2023
PO00086,SUP001,SKU007,2023-10-30,2023-11-06,2023-11-06,4336,4327,83,104.53,453242.08,0.0,Partial,0.9979,0.0192,0,0,2023-10,2023Q4,2023
PO00087,SUP001,SKU005,2024-07-24,2024-07-31,2024-07-31,2666,2604,35,132.91,354338.06,0.0,Delivered,0.9767,0.0134,0,0,2024-07,2024Q3,2024
PO00088,SUP001,SKU009,2024-08-21,2024-08-28,2024-08-27,1387,1364,16,98.91,137188.17,0.0,Delivered,0.9834,0.0117,0,0,2024-08,2024Q3,2024
PO00089,SUP001,SKU003,2023-12-02,2023-12-09,2023-12-09,4303,4283,34,87.63,377071.89,0.0,Partial,0.9954,0.0079,0,0,2023-12,2023Q4,2023
PO00090,SUP001,SKU008,2023-02-16,2023-02-23,2023-02-22,1451,1385,3,273.71,397153.21,0.0,Delivered,0.9545,0.0022,0,0,2023-02,2023Q1,2023
PO00091,SUP001,SKU002,2024-01-15,2024-01-22,2024-01-20,3933,3851,68,113.49,446356.17,0.0,Delivered,0.9792,0.0177,0,0,2024-01,2024Q1,2024
PO00092,SUP001,SKU004,2024-05-16,2024-05-23,2024-05-22,768,756,6,214.7,164889.6,0.0,Partial,0.9844,0.0079,0,0,2024-05,2024Q2,2024
PO00093,SUP001,SKU008,2024-01-07,2024-01-14,2024-01-12,3438,3276,63,273.71,941014.98,0.0,Partial,0.9529,0.0192,0,0,2024-01,2024Q1,2024
PO00094,SUP001,SKU010,2023-04-04,2023-04-11,2023-04-09,674,642,12,218.56,147309.44,0.0,Partial,0.9525,0.0187,0,0,2023-04,2023Q2,2023
PO00095,SUP001,SKU010,2023-07-30,2023-08-06,2023-08-06,2269,2247,34,218.56,495912.64,0.0,Partial,0.9903,0.0151,0,0,2023-07,2023Q3,2023
PO00096,SUP001,SKU001,2023-01-03,2023-01-10,2023-01-10,4925,4740,62,233.46,1149790.5,0.0,Partial,0.9624,0.0131,0,0,2023-01,2023Q1,2023
PO00097,SUP001,SKU007,2023-05-15,2023-05-22,2023-05-22,3152,2996,7,104.53,329478.56,0.0,Partial,0.9505,0.0023,0,0,2023-05,2023Q2,2023
PO00098,SUP001,SKU010,2024-06-22,2024-06-29,2024-07-03,3465,3380,34,218.56,757310.4,4.0,Partial,0.9755,0.0101,1,0,2024-06,2024Q2,2024
PO00099,SUP001,SKU008,2023-02-14,2023-02-21,2023-02-19,4771,4604,2,273.71,1305870.41,0.0,Delivered,0.965,0.0004,0,0,2023-02,2023Q1,2023
PO00100,SUP001,SKU002,2024-02-16,2024-02-23,2024-02-21,4133,3941,47,113.49,469054.17,0.0,Partial,0.9535,0.0119,0,0,2024-02,2024Q1,2024
PO00101,SUP001,SKU009,2023-05-10,2023-05-17,2023-05-15,3163,3065,18,98.91,312852.33,0.0,Delivered,0.969,0.0059,0,0,2023-05,2023Q2,2023
PO00102,SUP001,SKU008,2024-09-11,2024-09-18,2024-09-18,2261,2196,18,273.71,618858.31,0.0,Delivered,0.9713,0.0082,0,0,2024-09,2024Q3,2024
PO00103,SUP001,SKU008,2024-02-13,2024-02-20,2024-02-19,3060,3008,9,273.71,837552.6,0.0,Partial,0.983,0.003,0,0,2024-02,2024Q1,2024
PO00104,SUP001,SKU001,2023-03-10,2023-03-17,2023-03-16,1291,1274,3,233.46,301396.86,0.0,Partial,0.9868,0.0024,0,0,2023-03,2023Q1,2023
PO00105,SUP001,SKU007,2024-08-23,2024-08-30,2024-08-28,1501,1456,27,104.53,156899.53,0.0,Delivered,0.97,0.0185,0,0,2024-08,2024Q3,2024
PO00106,SUP001,SKU004,2023-02-22,2023-03-01,2023-02-28,1348,1319,17,214.7,289415.6,0.0,Partial,0.9785,0.0129,0,0,2023-02,2023Q1,2023
PO00107,SUP001,SKU010,2023-04-21,2023-04-28,2023-04-28,2782,2722,46,218.56,608033.92,0.0,Delivered,0.9784,0.0169,0,0,2023-04,2023Q2,2023
PO00108,SUP001,SKU006,2024-09-20,2024-09-27,2024-09-25,2690,2559,39,247.55,665909.5,0.0,Partial,0.9513,0.0152,0,0,2024-09,2024Q3,2024
PO00109,SUP001,SKU010,2023-12-26,2024-01-02,,1086,0,0,218.56,237356.16,,Cancelled,0.0,0.0,0,1,2023-12,2023Q4,2023
PO00110,SUP001,SKU008,2024-11-04,2024-11-11,2024-11-09,751,716,5,273.71,205556.21,0.0,Delivered,0.9534,0.007,0,0,2024-11,2024Q4,2024
PO00111,SUP001,SKU001,2023-12-16,2023-12-23,2023-12-22,1195,1188,17,233.46,278984.7,0.0,Partial,0.9941,0.0143,0,0,2023-12,2023Q4,2023
PO00112,SUP001,SKU009,2024-11-21,2024-11-28,2024-11-27,4478,4390,18,98.91,442918.98,0.0,Delivered,0.9803,0.0041,0,0,2024-11,2024Q4,2024
PO00113,SUP001,SKU010,2023-04-27,2023-05-04,2023-05-02,4486,4379,19,218.56,980460.16,0.0,Partial,0.9761,0.0043,0,0,2023-04,2023Q2,2023
PO00114,SUP001,SKU004,2023-02-26,2023-03-05,,1734,0,0,214.7,372289.8,,Cancelled,0.0,0.0,0,1,2023-02,2023Q1,2023
PO00115,SUP001,SKU009,2023-05-21,2023-05-28,2023-05-28,563,548,1,98.91,55686.33,0.0,Delivered,0.9734,0.0018,0,0,2023-05,2023Q2,2023
PO00116,SUP001,SKU008,2023-08-24,2023-08-31,2023-08-30,1090,1057,9,273.71,298343.9,0.0,Delivered,0.9697,0.0085,0,0,2023-08,2023Q3,2023
PO00117,SUP001,SKU001,2023-03-21,2023-03-28,2023-03-26,3813,3757,8,233.46,890182.98,0.0,Delivered,0.9853,0.0021,0,0,2023-03,2023Q1,2023
PO00118,SUP001,SKU010,2023-11-29,2023-12-06,2023-12-05,3464,3306,16,218.56,757091.84,0.0,Delivered,0.9544,0.0048,0,0,2023-11,2023Q4,2023
PO00119,SUP001,SKU002,2024-02-15,2024-02-22,2024-02-21,3281,3153,4,113.49,372360.69,0.0,Delivered,0.961,0.0013,0,0,2024-02,2024Q1,2024
PO00120,SUP001,SKU004,2024-06-27,2024-07-04,2024-07-03,3376,3329,54,214.7,724827.2,0.0,Delivered,0.9861,0.0162,0,0,2024-06,2024Q2,2024
PO00121,SUP001,SKU008,2023-04-16,2023-04-23,2023-04-21,1752,1730,6,273.71,479539.92,0.0,Delivered,0.9874,0.0035,0,0,2023-04,2023Q2,2023
PO00122,SUP001,SKU002,2024-04-20,2024-04-27,2024-04-26,3147,3125,9,113.49,357153.03,0.0,Delivered,0.993,0.0029,0,0,2024-04,2024Q2,2024
PO00123,SUP001,SKU001,2024-04-25,2024-05-02,2024-05-01,960,928,8,233.46,224121.6,0.0,Partial,0.9667,0.0086,0,0,2024-04,2024Q2,2024
PO00124,SUP001,SKU009,2023-02-28,2023-03-07,2023-03-05,1239,1215,11,98.91,122549.49,0.0,Delivered,0.9806,0.0091,0,0,2023-02,2023Q1,2023
PO00125,SUP001,SKU001,2023-02-12,2023-02-19,2023-02-17,2042,1972,5,233.46,476725.32,0.0,Delivered,0.9657,0.0025,0,0,2023-02,2023Q1,2023
PO00126,SUP001,SKU008,2024-04-06,2024-04-13,2024-04-12,1190,1160,5,273.71,325714.9,0.0,Partial,0.9748,0.0043,0,0,2024-04,2024Q2,2024
PO00127,SUP001,SKU010,2024-03-25,2024-04-01,2024-03-31,3554,3539,54,218.56,776762.24,0.0,Partial,0.9958,0.0153,0,0,2024-03,2024Q1,2024
PO00128,SUP001,SKU010,2023-02-23,2023-03-02,2023-03-02,3200,3055,17,218.56,699392.0,0.0,Delivered,0.9547,0.0056,0,0,2023-02,2023Q1,2023
PO00129,SUP001,SKU003,2023-06-03,2023-06-10,2023-06-10,3365,3248,43,87.63,294874.95,0.0,Delivered,0.9652,0.0132,0,0,2023-06,2023Q2,2023
PO00130,SUP001,SKU009,2024-09-01,2024-09-08,2024-09-06,3585,3521,8,98.91,354592.35,0.0,Partial,0.9821,0.0023,0,0,2024-09,2024Q3,2024
PO00131,SUP001,SKU008,2023-04-06,2023-04-13,2023-04-12,649,628,2,273.71,177637.79,0.0,Partial,0.9676,0.0032,0,0,2023-04,2023Q2,2023
PO00132,SUP001,SKU009,2023-07-16,2023-07-23,2023-07-23,2923,2900,44,98.91,289113.93,0.0,Partial,0.9921,0.0152,0,0,2023-07,2023Q3,2023
PO00133,SUP001,SKU010,2023-02-08,2023-02-15,2023-02-13,1573,1541,5,218.56,343794.88,0.0,Partial,0.9797,0.0032,0,0,2023-02,2023Q1,2023
PO00134,SUP001,SKU008,2023-06-19,2023-06-26,2023-06-29,2445,2441,36,273.71,669220.95,3.0,Delivered,0.9984,0.0147,1,0,2023-06,2023Q2,2023
PO00135,SUP001,SKU008,2023-08-28,2023-09-04,2023-09-03,2089,2022,39,273.71,571780.19,0.0,Delivered,0.9679,0.0193,0,0,2023-08,2023Q3,2023
PO00136,SUP001,SKU005,2023-10-16,2023-10-23,2023-10-22,1827,1810,5,132.91,242826.57,0.0,Delivered,0.9907,0.0028,0,0,2023-10,2023Q4,2023
PO00137,SUP001,SKU002,2023-02-23,2023-03-02,2023-02-28,1340,1320,3,113.49,152076.6,0.0,Delivered,0.9851,0.0023,0,0,2023-02,2023Q1,2023
PO00138,SUP001,SKU006,2023-06-14,2023-06-21,2023-06-21,4083,3897,63,247.55,1010746.65,0.0,Delivered,0.9544,0.0162,0,0,2023-06,2023Q2,2023
PO00139,SUP001,SKU006,2023-01-28,2023-02-04,2023-02-03,2431,2356,10,247.55,601794.05,0.0,Partial,0.9691,0.0042,0,0,2023-01,2023Q1,2023
PO00140,SUP001,SKU003,2023-04-12,2023-04-19,2023-04-19,1627,1548,14,87.63,142574.01,0.0,Delivered,0.9514,0.009,0,0,2023-04,2023Q2,2023
PO00141,SUP001,SKU010,2024-04-25,2024-05-02,2024-05-03,655,630,6,218.56,143156.8,1.0,Delivered,0.9618,0.0095,1,0,2024-04,2024Q2,2024
PO00142,SUP001,SKU010,2024-06-24,2024-07-01,2024-07-01,2967,2836,36,218.56,648467.52,0.0,Partial,0.9558,0.0127,0,0,2024-06,2024Q2,2024
PO00143,SUP001,SKU003,2024-04-13,2024-04-20,2024-04-19,4891,4650,22,87.63,428598.33,0.0,Delivered,0.9507,0.0047,0,0,2024-04,2024Q2,2024
PO00144,SUP001,SKU006,2023-10-26,2023-11-02,2023-11-02,3912,3753,39,247.55,968415.6,0.0,Delivered,0.9594,0.0104,0,0,2023-10,2023Q4,2023
PO00145,SUP001,SKU006,2023-03-11,2023-03-18,2023-03-16,666,645,8,247.55,164868.3,0.0,Delivered,0.9685,0.0124,0,0,2023-03,2023Q1,2023
PO00146,SUP001,SKU010,2023-09-17,2023-09-24,2023-09-24,3324,3197,6,218.56,726493.44,0.0,Delivered,0.9618,0.0019,0,0,2023-09,2023Q3,2023
PO00147,SUP001,SKU008,2023-12-07,2023-12-14,2023-12-13,1934,1917,37,273.71,529355.14,0.0,Delivered,0.9912,0.0193,0,0,2023-12,2023Q4,2023
PO00148,SUP001,SKU001,2024-10-08,2024-10-15,2024-10-13,4249,4044,63,233.46,991971.54,0.0,Partial,0.9518,0.0156,0,0,2024-10,2024Q4,2024
PO00149,SUP001,SKU006,2023-11-20,2023-11-27,2023-11-25,4378,4214,16,247.55,1083773.9,0.0,Delivered,0.9625,0.0038,0,0,2023-11,2023Q4,2023
PO00150,SUP001,SKU007,2023-02-18,2023-02-25,2023-02-25,3514,3415,30,104.53,367318.42,0.0,Delivered,0.9718,0.0088,0,0,2023-02,2023Q1,2023
PO00151,SUP001,SKU007,2023-12-14,2023-12-21,2023-12-20,3509,3495,56,104.53,366795.77,0.0,Delivered,0.996,0.016,0,0,2023-12,2023Q4,2023
PO00152,SUP001,SKU005,2023-03-22,2023-03-29,2023-03-29,4968,4792,31,132.91,660296.88,0.0,Partial,0.9646,0.0065,0,0,2023-03,2023Q1,2023
PO00153,SUP001,SKU006,2023-11-10,2023-11-17,2023-11-17,4136,4001,69,247.55,1023866.8,0.0,Partial,0.9674,0.0172,0,0,2023-11,2023Q4,2023
PO00154,SUP001,SKU003,2024-09-21,2024-09-28,2024-09-28,1114,1095,11,87.63,97619.82,0.0,Delivered,0.9829,0.01,0,0,2024-09,2024Q3,2024
